,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,price,usage Gaming and Design,usage Engineering,usage desk work,url
1092,"ASUS TUF Dash F15 TUF517ZM-HN078 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,3394.5,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/dkQAAOSwsUdlg3po/s-l300.jpg
1093,"ASUS VivoBook 13 Slate OLED T3300KA-LQ069W Intel Pentium Silver N6000/8 GB/128GB SSD/13.3"" Táctil",New,Asus,VivoBook,Intel Pentium,8,128,SSD,,13.3,Yes,2324.969,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/KtwAAOSwDMljcHeq/s-l300.jpg
1094,"Acer Aspire 5 A514-54G-59FU Intel Core i5-1135G7/8GB/512GB SSD/MX350/14""",New,Acer,Aspire,Intel Core i5,8,512,SSD,,14.0,No,2385.6980000000003,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/YS4AAOSwd5xlehfC/s-l300.jpg
1095,"Acer Extensa 15 EX215-52-59MA Intel Core i5-1035G1/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i5,8,256,SSD,,15.6,No,1648.58,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/jAUAAOSwWW5lSV6D/s-l225.jpg
1096,"Acer Extensa 15 EX215-54-51HW Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i5,8,256,SSD,,15.6,No,1642.69,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/0z0AAOSwCrBkzsc6/s-l225.jpg
1097,"Lenovo IdeaPad 3 14ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/14""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,14.0,No,2346.7000000000003,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/UKoAAOSwFBJlNpPF/s-l300.jpg
1098,"Lenovo ThinkPad E14 G4 Intel Core i5-1235U/16GB/512GB SSD/14""",New,Lenovo,ThinkPad,Intel Core i5,16,512,SSD,,14.0,No,3313.9,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/4iAAAOSwRQ5lFYDy/s-l300.jpg
1099,"MSI Raider GE78HX 13VH-065ES Intel Core i9-13950HX/32GB/2TB SSD/RTX 4080/17""",New,MSI,Raider,Intel Core i9,32,2000,SSD,RTX 4080,17.0,No,22166.457,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/VcMAAOSwql5lg0IG/s-l300.jpg
1100,"HP EliteBook x360 1030 G3 Intel Core i5-8250U/8GB/256GB SSD/13.3"" Táctil",Refurbished,HP,EliteBook,Intel Core i5,8,256,SSD,,13.3,Yes,1922.0,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/aVIAAOSwKXZlhFnp/s-l300.jpg
1101,"Lenovo LOQ 15IRH8-279 Intel Core i5-13500H/16GB/512GB SSD/RTX4060/15.6"" (PT)",New,Lenovo,LOQ,Intel Core i5,16,512,SSD,RTX 4060,15.6,No,4644.823,High,True,True,True,http://i.ebayimg.com/00/z/ccsAAOSwIYxbY2b2/$_13.png
1102,"Acer Chromebook 314 CB314-1H-C07W Intel Celeron N4020/8GB/64GB eMMC/14"" + Funda Protectora con Bolsillo Frontal",New,Acer,Chromebook,Intel Celeron,8,64,eMMC,,14.0,No,1159.4,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/JVsAAOSwuuFlhFda/s-l300.jpg
1103,"ASUS TUF Gaming F15 FX506HE-HN012 Intel Core i5-11400H/16 GB/512GB SSD/RTX 3050Ti/15.6""",Refurbished,Asus,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,2941.9,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/m8QAAOSw6G9lhD9v/s-l300.jpg
1104,"Apple MacBook Intel Core M3/8GB/256GB/12"" Oro",Refurbished,Apple,Macbook,Intel Core M3,8,256,,,12.0,No,1716.0980000000002,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/G8QAAOSwrNhlgISu/s-l300.jpg
1105,"Dell Latitude 3330 Intel Core i5-1155G7/8 GB/256GB SSD/13.3""",New,Dell,Latitude,Intel Core i5,8,256,SSD,,13.3,No,2827.2000000000003,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/Yf0AAOSw0uViJmFw/s-l300.jpg
1106,"Dell Vostro 5620 Intel Core i5-1240P/16GB/512GB SSD/16""",New,Dell,Vostro,Intel Core i5,16,512,SSD,,16.0,No,2980.96,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/y7MAAOSwnihldiws/s-l300.jpg
1107,"ASUS ZenBook 14 UM425UAZ-KI016W AMD Ryzen 7 5700U/16GB/512GB SSD/14""",Refurbished,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,,14.0,No,2631.9,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/hOcAAOSwuMBlgHpZ/s-l300.jpg
1108,"ASUS Zenbook 14 OLED UX3402ZA-KM023W Intel Evo Core i7-1260P/16GB/512GB SSD/14""",New,Asus,ZenBook,Intel Evo Core i7,16,512,SSD,,14.0,No,4026.9,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/SXEAAOSwQDBld6Hv/s-l300.jpg
1109,"Asus VivoBook S14 S433EA-AM612T Intel Core i7-1165G7/16GB/512GB SSD/14""",Refurbished,Asus,VivoBook,Intel Core i7,16,512,SSD,,14.0,No,2476.9,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/R-oAAOSwHIllbibU/s-l300.jpg
1110,"ASUS VivoBook 17 F1704VA-AU116W Intel Core i7-1355U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i7,16,512,SSD,,17.3,No,2827.2000000000003,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/QGkAAOSwdhBkjDKO/s-l300.jpg
1111,"HP Pavilion 15-EG1008NS Intel Core i7-1195G7/16GB/512GB SSD/15.6""",New,HP,Pavilion,Intel Core i7,16,512,SSD,,15.6,No,2975.783,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/bzwAAOSwo11hyii6/s-l300.jpg
1112,"HP Pavilion x360 14-ek0031ns Intel Core i7-1255U/16GB/512GB SSD/14"" Táctil",New,HP,Pavilion,Intel Core i7,16,512,SSD,,14.0,Yes,3929.498,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/KPcAAOSwzOFlfFZh/s-l225.jpg
1113,"ASUS ZenBook 13 OLED UX325EA Intel Evo Core i7-1165G7/16GB/512GB SSD/13.3""",New,Asus,ZenBook,Intel Evo Core i7,16,512,SSD,,13.3,No,3149.6,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/6u0AAOSwIKdk~Ktj/s-l300.jpg
1114,"Dell Vostro 5320 Intel Evo Core i5-1240P/16GB/512GB SSD/13.3""",New,Dell,Vostro,Intel Evo Core i5,16,512,SSD,,13.3,No,3162.744,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/lMoAAOSwAB1lc4n-/s-l225.jpg
1115,"ASUS P1511CEA-BR1796X Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Refurbished,Asus,BR,Intel Core i5,8,512,SSD,,15.6,No,2166.9,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/BlcAAOSw8khkYfIM/s-l225.jpg
1116,"Acer Aspire 3 A315-58-79LA Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Refurbished,Acer,Aspire,Intel Core i7,16,512,SSD,,15.6,No,1818.274,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/fGgAAOSww9tlXPq0/s-l300.jpg
1117,"Acer Extensa 15 EX215-54-54AL Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i5,8,256,SSD,,15.6,No,2199.915,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/HG0AAOSwFW9lFcDs/s-l225.jpg
1118,"Aspire 3 A315-56-35D3 Intel Core i3-1005G1 8GB/512GB SSD/15.6"" (PT)",Refurbished,Acer,Aspire,Intel Core i3,8,512,SSD,,15.6,No,1054.744,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/yGUAAOSw3ExiTu3I/s-l300.jpg
1119,"Asus ROG Zephyrus G14 GA401IU-HA123T AMD Ryzen 9 4900HS/16GB/1TB SSD/GTX 1660 Ti/14""",Refurbished,Asus,ROG,AMD Ryzen 9,16,1000,SSD,GTX 1660,14.0,No,3960.684,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/3CMAAOSwzs5lSP3s/s-l300.jpg
1120,"Dynabook Toshiba Tecra A50-J-1BI Intel Core i5-1135G7/8GB/512GB SSD/15.6""",Refurbished,Dynabook Toshiba,Tecra,Intel Core i5,8,512,SSD,,15.6,No,2972.9,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/9~0AAOSwHXBlW5st/s-l300.jpg
1121,"MSI Creator Z17 A12UGST-040ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3070 Ti/17"" Táctil",Refurbished,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3070,17.0,Yes,9606.9,High,True,True,True,#
1122,"MSI Pulse GL76 12UEK-245XES Intel Core i9-12900H/32GB/1TB SSD/RTX 3060/17.3""",Refurbished,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 3060,17.3,No,6196.900000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/UF0AAOSwJDdlaKfd/s-l225.jpg
